date,kr_base_rate,kr_cpi,kr_mortgage_rate,kr_m2,kr_gdp
2014-01,2.5,93.73,3.75,1799846.9,0.8
2014-02,2.5,93.98,3.71,1814781.0,
2014-03,2.5,94.153,3.69,1826090.4,
2014-04,2.5,94.214,3.69,1830800.0,0.9
2014-05,2.5,94.369,3.63,1847499.7,
2014-06,2.5,94.248,3.58,1858233.6,
2014-07,2.5,94.386,3.53,1869730.2,0.3
2014-08,2.25,94.551,3.5,1891814.7,
2014-09,2.25,94.49,3.5,1901679.4,
2014-10,2.0,94.205,3.38,1912477.6,0.5
2014-11,2.0,94.015,3.3,1935697.0,
2014-12,2.0,94.006,3.33,1946213.6,
2015-01,2.0,94.643,3.34,1949424.5,0.9
2015-02,2.0,94.587,3.24,1966543.7,
2015-03,1.75,94.596,2.97,1983317.2,
2015-04,1.75,94.625,2.81,2006484.3,0.4
2015-05,1.75,94.89,3.06,2018864.2,
2015-06,1.5,94.909,3.01,2028091.1,
2015-07,1.5,95.08,2.96,2046768.0,1.5
2015-08,1.5,95.213,2.94,2058804.8,
2015-09,1.5,94.966,2.92,2069757.1,
2015-10,1.5,94.966,2.9,2076050.9,0.8
2015-11,1.5,94.786,3.04,2084185.5,
2015-12,1.5,95.07,3.12,2094647.7,
2016-01,1.5,95.232,3.1,2112089.3,0.4
2016-02,1.5,95.64,2.99,2129784.1,
2016-03,1.5,95.393,2.97,2136613.8,
2016-04,1.5,95.573,2.93,2145385.9,1.3
2016-05,1.5,95.63,2.89,2163643.3,
2016-06,1.25,95.611,2.77,2178064.5,
2016-07,1.25,95.431,2.66,2193889.4,0.4
2016-08,1.25,95.677,2.7,2212930.6,
2016-09,1.25,96.247,2.8,2215033.9,
2016-10,1.25,96.379,2.89,2232353.3,0.8
2016-11,1.25,96.237,3.04,2255845.8,
2016-12,1.25,96.342,3.13,2265136.6,
2017-01,1.25,97.366,3.16,2274550.6,1.1
2017-02,1.25,97.632,3.19,2282605.6,
2017-03,1.25,97.565,3.21,2294876.9,
2017-04,1.25,97.442,3.21,2310909.5,0.7
2017-05,1.25,97.546,3.26,2321693.3,
2017-06,1.25,97.338,3.22,2324589.3,
2017-07,1.25,97.499,3.28,2339181.8,1.4
2017-08,1.25,98.058,3.28,2354321.9,
